y,gpp_2000
639,122.1892
640,122.1845
641,122.3468
642,122.3366
643,122.4068
644,122.3625
645,122.0333
646,122.087
647,122.1862
648,122.3292
649,122.3546
650,122.4603
651,122.5571
652,122.6185
653,122.619
654,122.7409
655,122.7195
656,122.8497
657,122.8804
658,122.9239
659,122.9314
660,122.9573
661,122.9683
662,122.964
663,122.8886
664,122.9119
665,122.9311
666,123.0261
667,122.9112
668,122.9025
669,122.9047
670,122.938
671,122.985
672,123.0879
673,122.9855
674,122.9393
675,122.9383
676,122.9928
677,122.9763
678,122.9281
679,122.8598
680,122.807
681,122.8352
682,122.8477
683,122.843
684,122.8979
685,122.7817
686,122.8349
687,122.8213
688,122.7851
689,122.827
690,122.8217
691,122.8093
692,122.7894
693,122.7781
694,122.8028
695,122.7168
696,122.761
697,122.7354
698,122.6854
699,122.701
700,122.7038
701,122.6986
702,122.7095
703,122.7001
704,122.7747
705,122.7149
706,122.6859
707,122.6684
708,122.1342
709,121.2359
710,120.6038
711,120.3247
712,120.891
713,121.3911
714,121.6609
715,121.6922
716,121.8003
717,121.8957
718,121.9362
719,121.9997
720,122.0091
721,122.2595
722,122.3694
723,121.8621
724,121.1072
725,120.5548
726,120.2877
727,120.4722
728,120.5391
729,120.4349
730,120.7758
731,121.0909
732,121.2235
733,121.0661
734,121.0734
735,121.4636
736,121.1606
737,120.7034
738,120.9963
739,121.6808
740,121.9102
741,121.707
742,121.262
743,120.9076
744,120.7368
745,120.8229
746,120.7937
747,120.5935
748,120.6609
749,120.589
750,120.6787
751,120.6613
752,120.6418
753,120.6429
754,120.8658
755,120.7255
756,120.6246
757,120.7339
758,120.7581
759,120.5654
760,120.6012
761,120.5061
762,120.6232
763,120.7948
764,120.641
765,120.5299
766,120.7556
767,120.6711
768,120.6231
769,120.7613
770,120.8816
771,120.7052
772,120.6534
773,120.5423
774,120.6241
775,120.6276
776,120.4633
777,120.4983
778,120.7238
779,120.5397
780,120.4388
781,120.5779
782,120.6447
783,120.4999
784,120.5645
785,120.3993
786,120.4917
787,120.6141
788,120.5259
789,120.4562
790,120.6398
791,120.5253
792,120.4558
793,120.5627
794,120.5828
795,120.4842
796,120.4266
797,120.3014
798,120.4783
799,120.5044
800,120.3125
801,120.2271
802,120.5019
803,120.3573
804,120.3124
805,120.4576
806,120.4542
807,120.3001
808,120.3525
809,120.2862
810,120.3681
811,120.4478
812,120.3773
813,120.3909
814,120.5521
815,120.3783
816,120.3207
817,120.4286
818,120.4835
819,120.3627
820,120.299
821,120.1662
822,120.3426
823,120.451
824,120.2993
825,120.2737
826,120.5225
827,120.3744
828,120.2741
829,120.3367
830,120.3937
831,120.2467
832,120.2461
833,120.2672
834,120.3315
835,120.369
836,120.2273
837,120.1987
838,120.424
839,120.2215
840,120.2191
841,120.2848
