Time (year),npp (PgC a-1)
2153.5,73.75943756103516
2154.5,73.75690460205078
2155.5,73.75072479248047
2156.5,73.76634216308594
2157.5,73.73506164550781
2158.5,73.75818634033203
2159.5,73.76616668701172
2160.5,73.74340057373047
2161.5,73.73809051513672
2162.5,73.739013671875
2163.5,73.72306823730469
2164.5,73.72562408447266
2165.5,73.74534606933594
2166.5,73.72177124023438
2167.5,73.72181701660156
2168.5,73.72529602050781
2169.5,73.71957397460938
2170.5,73.73236083984375
2171.5,73.72252655029297
2172.5,73.7259521484375
2173.5,73.71180725097656
2174.5,73.71781158447266
2175.5,73.7303695678711
2176.5,73.72251892089844
2177.5,73.7316665649414
2178.5,73.7320327758789
2179.5,73.71924591064453
2180.5,73.71833801269531
2181.5,73.71936798095703
2182.5,73.70177459716797
2183.5,73.71143341064453
2184.5,73.72737884521484
2185.5,73.69676208496094
2186.5,73.70881652832031
2187.5,73.70158386230469
2188.5,73.71356201171875
2189.5,73.71185302734375
2190.5,73.7188491821289
2191.5,73.7012710571289
2192.5,73.70150756835938
2193.5,73.70679473876953
2194.5,73.72550964355469
2195.5,73.71289825439453
2196.5,73.723876953125
2197.5,73.70550537109375
2198.5,73.70813751220703
2199.5,73.7037124633789
2200.5,73.68907165527344
2201.5,73.69940185546875
2202.5,73.72776794433594
2203.5,73.67469787597656
2204.5,73.69268798828125
2205.5,73.6846923828125
2206.5,73.69215393066406
2207.5,73.68671417236328
2208.5,73.701904296875
2209.5,73.67777252197266
2210.5,73.68184661865234
2211.5,73.68233489990234
2212.5,73.69071960449219
2213.5,73.6607894897461
2214.5,73.66934967041016
2215.5,73.67095184326172
2216.5,73.6558609008789
2217.5,73.63977813720703
2218.5,73.64517211914062
2219.5,73.64076232910156
2220.5,73.62948608398438
2221.5,73.62345886230469
2222.5,73.62078094482422
2223.5,73.62068939208984
2224.5,73.61890411376953
2225.5,73.61786651611328
2226.5,73.62235260009766
2227.5,73.62549591064453
2228.5,73.6013412475586
2229.5,73.59233093261719
2230.5,73.5948715209961
2231.5,73.58935546875
2232.5,73.60470581054688
2233.5,73.56604766845703
2234.5,73.58004760742188
2235.5,73.55577087402344
2236.5,73.56866455078125
2237.5,73.57372283935547
2238.5,73.56379699707031
2239.5,73.55452728271484
2240.5,73.55972290039062
2241.5,73.53620910644531
2242.5,73.55044555664062
2243.5,73.5386734008789
2244.5,73.52532196044922
2245.5,73.51812744140625
2246.5,73.51788330078125
2247.5,73.50536346435547
2248.5,73.4958267211914
2249.5,73.51377868652344
2250.5,73.484375
2251.5,73.49187469482422
2252.5,73.48961639404297
2253.5,73.48877716064453
2254.5,73.46244812011719
2255.5,73.46734619140625
2256.5,73.48975372314453
2257.5,73.46207427978516
2258.5,73.47023010253906
2259.5,73.46050262451172
2260.5,73.45903015136719
2261.5,73.46623992919922
2262.5,73.447265625
2263.5,73.43009185791016
2264.5,73.43303680419922
2265.5,73.4356460571289
2266.5,73.436279296875
2267.5,73.418701171875
2268.5,73.43263244628906
2269.5,73.40554809570312
2270.5,73.43343353271484
2271.5,73.4186782836914
2272.5,73.4170913696289
2273.5,73.40265655517578
2274.5,73.40823364257812
2275.5,73.39280700683594
2276.5,73.38229370117188
2277.5,73.38317108154297
2278.5,73.38583374023438
2279.5,73.38664245605469
2280.5,73.3746109008789
2281.5,73.35488891601562
2282.5,73.36151885986328
2283.5,73.37152099609375
2284.5,73.35505676269531
2285.5,73.35425567626953
2286.5,73.34391021728516
2287.5,73.33187866210938
2288.5,73.33368682861328
2289.5,73.34375
2290.5,73.3282699584961
2291.5,73.330810546875
2292.5,73.32335662841797
2293.5,73.29664611816406
2294.5,73.3078842163086
2295.5,73.32123565673828
2296.5,73.31230163574219
2297.5,73.30711364746094
2298.5,73.31989288330078
2299.5,73.28764343261719
2300.5,73.2967529296875
2301.5,73.2861557006836
2302.5,73.29148864746094
2303.5,73.29450988769531
2304.5,73.28067016601562
2305.5,73.27237701416016
2306.5,73.26002502441406
2307.5,73.26174926757812
2308.5,73.27017211914062
2309.5,73.24400329589844
2310.5,73.25859069824219
2311.5,73.24893951416016
2312.5,73.23931884765625
2313.5,73.22895812988281
2314.5,73.22831726074219
2315.5,73.2348861694336
2316.5,73.23756408691406
2317.5,73.21942901611328
2318.5,73.22695922851562
2319.5,73.2272720336914
2320.5,73.21368408203125
2321.5,73.21460723876953
2322.5,73.22386932373047
2323.5,73.21410369873047
2324.5,73.21014404296875
2325.5,73.21101379394531
2326.5,73.20282745361328
2327.5,73.20103454589844
2328.5,73.19770812988281
2329.5,73.18844604492188
2330.5,73.20079040527344
2331.5,73.19161987304688
2332.5,73.17501068115234
2333.5,73.17848205566406
2334.5,73.17709350585938
2335.5,73.1502456665039
2336.5,73.16497039794922
2337.5,73.1671142578125
2338.5,73.16310119628906
2339.5,73.14111328125
2340.5,73.15068054199219
2341.5,73.13540649414062
2342.5,73.14144897460938
2343.5,73.1447982788086
2344.5,73.1230239868164
2345.5,73.12627410888672
2346.5,73.13720703125
2347.5,73.10330963134766
2348.5,73.11183166503906
2349.5,73.1120834350586
2350.5,73.12113189697266
2351.5,73.12134552001953
2352.5,73.10801696777344
2353.5,73.09440612792969
2354.5,73.0987319946289
2355.5,73.10404205322266
2356.5,73.10643005371094
2357.5,73.08582305908203
2358.5,73.10073852539062
2359.5,73.08111572265625
2360.5,73.08574676513672
2361.5,73.07825469970703
2362.5,73.06905364990234
2363.5,73.07706451416016
2364.5,73.07862091064453
2365.5,73.06015014648438
2366.5,73.05746459960938
2367.5,73.05341339111328
2368.5,73.05414581298828
2369.5,73.05658721923828
2370.5,73.05046081542969
2371.5,73.04624938964844
2372.5,73.045166015625
2373.5,73.03294372558594
2374.5,73.02348327636719
2375.5,73.02288818359375
2376.5,73.0372314453125
2377.5,73.0128402709961
2378.5,73.03388977050781
2379.5,73.01578521728516
2380.5,73.02009582519531
2381.5,73.00413513183594
2382.5,73.02045440673828
2383.5,72.99989318847656
2384.5,73.01145935058594
2385.5,73.0085220336914
2386.5,72.9922866821289
2387.5,73.00303649902344
2388.5,72.98692321777344
2389.5,72.97737121582031
2390.5,73.00322723388672
2391.5,72.99343872070312
2392.5,72.98233032226562
2393.5,72.98249053955078
2394.5,72.96684265136719
2395.5,72.95883178710938
2396.5,72.97866821289062
2397.5,72.97412109375
2398.5,72.96062469482422
2399.5,72.97008514404297
2400.5,72.95835876464844
2401.5,72.94407653808594
2402.5,72.96027374267578
2403.5,72.9501953125
2404.5,72.95423889160156
2405.5,72.94187927246094
2406.5,72.95256805419922
2407.5,72.94041442871094
2408.5,72.9317626953125
2409.5,72.93955993652344
2410.5,72.94612884521484
2411.5,72.93346405029297
2412.5,72.9282455444336
2413.5,72.92604064941406
2414.5,72.90992736816406
2415.5,72.90560150146484
2416.5,72.9115219116211
2417.5,72.91783905029297
2418.5,72.90811157226562
2419.5,72.89458465576172
2420.5,72.89463806152344
2421.5,72.89752197265625
2422.5,72.90715789794922
2423.5,72.89513397216797
2424.5,72.9126968383789
2425.5,72.87400817871094
2426.5,72.89229583740234
2427.5,72.89065551757812
2428.5,72.87798309326172
2429.5,72.86846160888672
2430.5,72.89055633544922
2431.5,72.86418151855469
2432.5,72.87427520751953
2433.5,72.8735580444336
2434.5,72.86719512939453
2435.5,72.87338256835938
2436.5,72.86917877197266
2437.5,72.85529327392578
2438.5,72.86660766601562
2439.5,72.86917877197266
2440.5,72.83031463623047
2441.5,72.84380340576172
2442.5,72.8519058227539
2443.5,72.84439086914062
2444.5,72.84996795654297
2445.5,72.85591125488281
2446.5,72.8280258178711
2447.5,72.826904296875
2448.5,72.85169219970703
2449.5,72.80912017822266
2450.5,72.81929779052734
2451.5,72.82298278808594
2452.5,72.81761169433594
2453.5,72.82762145996094
2454.5,72.81069946289062
2455.5,72.80570220947266
2456.5,72.82354736328125
2457.5,72.82086181640625
2458.5,72.80108642578125
2459.5,72.7967529296875
2460.5,72.79942321777344
2461.5,72.79325103759766
2462.5,72.79505920410156
2463.5,72.78874969482422
2464.5,72.7938232421875
2465.5,72.78236389160156
2466.5,72.7940902709961
2467.5,72.7663345336914
2468.5,72.7735366821289
2469.5,72.76699829101562
2470.5,72.77623748779297
2471.5,72.76805114746094
2472.5,72.77803039550781
2473.5,72.75509643554688
2474.5,72.76451873779297
2475.5,72.7641372680664
2476.5,72.76656341552734
2477.5,72.77894592285156
2478.5,72.75450897216797
2479.5,72.74659729003906
2480.5,72.74569702148438
2481.5,72.73812103271484
2482.5,72.72984313964844
2483.5,72.73146057128906
2484.5,72.7426986694336
2485.5,72.7114028930664
2486.5,72.72239685058594
2487.5,72.71928405761719
2488.5,72.72388458251953
2489.5,72.73500061035156
2490.5,72.71550750732422
2491.5,72.70880126953125
2492.5,72.7225570678711
2493.5,72.71390533447266
2494.5,72.71244049072266
2495.5,72.71768188476562
2496.5,72.72328186035156
2497.5,72.68790435791016
2498.5,72.70832061767578
2499.5,72.6935043334961
2500.5,72.68790435791016
